Name,Category,Address,Neighbourhood,Hours,Source,Accessible,X,Y
22nd Street Skytrain Station,Transit,2120 SEVENTH AVE,Connaught Heights,Only if attendant is present,,Yes,-122.949015048,49.200040265
Anvil Centre,Civic Facilities,777 COLUMBIA ST,Downtown,"All days (except Thursday) (8:00 am - 5:00 pm), Thursdays (8:00 am - 8:00 pm)",http://anvilcentre.com/,Yes,-122.911401103,49.2016538840001
Braid Skytrain Station,Transit,97 BRAID ST,Brunette Creek,Only if attendant is present,,Yes,-122.882877317,49.233124579
Canada Games Pool,Civic Facilities,65 E SIXTH AVE,Glenbrooke South,"Monday- Thursday (6:00 am - 9:55 pm), Friday (6:00 am - 10:25 pm), Saturday (8:00 am - 8:25pm), Sunday (8:00 am - 9:55 pm)",https://www.newwestcity.ca/parks-and-recreation/facilities/canada-games-pool#about ,Yes,-122.9077392,49.22169123
Centennial Community Centre,Civic Facilities,65 E SIXTH AVE,Glenbrooke South,"Monday - Thursday (9:00 am - 8:30 pm), Friday (9:00 am - 8:00 pm), Saturday (8:00 am - 1:00 pm), Sunday (8:30 am - 12:00 pm)",https://www.newwestcity.ca/parks-and-recreation/facilities/centennial-community-centre#about ,Yes,-122.906734196,49.221407985
Century House,Civic Facilities,620 EIGHTH ST,Kelvin,"Monday - Friday (9:00 am - 9:00 pm), Saturday (9:00 am - 4:00 pm), Sunday (12:00 pm - 4:00 pm). ",https://www.newwestcity.ca/parks-and-recreation/facilities/century-house#about ,Yes,-122.925966159,49.211941848
City Hall,Civic Facilities,511 ROYAL AVE,Uptown,"Monday (8:00 am - 7:00 pm), Tuesday-Friday (8:00 am - 5:00 pm)",https://www.newwestcity.ca/,Yes,-122.911000885,49.206810035
Columbia Skytrain Station (Shops @ New West),Transit,425 COLUMBIA ST,Downtown,Only if attendant is present,,Yes,-122.906205382,49.2047868230001
Douglas College,Other,700 ROYAL AVE,Downtown,"Monday - Friday (6:30 am - 11:00 pm), Saturday (6:30 am - 7:00 pm), Sunday (8:00 am - 6:00 pm*variable)",https://www.douglascollege.ca/,Yes,-122.9127478,49.2035020100001
Grimston Park,Parks,1900 SEVENTH AVE ,West End,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.944208112,49.201819867
Hume Park (Lower),Parks,660 E COLUMBIA ST,Sapperton,8:00 am - 5:00 pm ,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.891312373,49.2354522900001
Hume Park (Upper),Parks,660 E COLUMBIA ST,Sapperton,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.891748302,49.2331936320001
Justice Institute,Other,715 MCBRIDE BLVD,Glenbrooke South,"Monday - Friday (6:00 am - 10:00 pm), Saturday - Sunday (7:30 am - 5:30 pm)",http://www.jibc.ca/,Yes,-122.909354766,49.2220323590001
Mercer Stadium,Parks,830 SIXTH ST,Kelvin,6:00 am - 10:30 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.926129304,49.2175408320001
Moody Park Outdoor Pool,Parks,600 EIGHTH ST,Kelvin,7:00 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.928304016,49.2113052110001
Moody Park Arena,Civic Facilities,701 EIGHTH AVE,Kelvin,8:30 am - 8:30 pm ,https://www.newwestcity.ca/parks-and-recreation/facilities/moody-park-arena#about ,Yes,-122.9261784,49.2155633200001
New Westminster Public Library ,Civic Facilities,716 SIXTH AVE,Uptown,"Monday - Thursday (9:30 am - 9:00 pm), Friday & Saturday (9:30 am - 6:00 pm), Sunday (12:00 -5:00 pm)",http://www.nwpl.ca/,Yes,-122.9223814,49.21167216
New Westminster Skytrain Station,Transit,800 COLUMBIA ST,Downtown,Only if attendant is present,,Yes,-122.912480896,49.2015079820001
Port Royal Park,Parks,215 SALTER ST,North Arm South,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.923219486,49.1948573550001
Quayside Park,Parks,1264 QUAYSIDE DR,Downtown,7:00 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.922133382,49.1988718910001
Queen's Park Treats Concession,Parks,600 FIRST ST,Glenbrooke South,8:00 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.907989387,49.216088493
Queen's Park Arena,Civic Facilities,600 FIRST ST,Glenbrooke South,Monday - Friday (9:00 am - 4:00 pm),https://www.newwestcity.ca/parks-and-recreation/facilities/queens-park-arena#about,Yes,-122.905546515,49.214655339
Queensborough Community Centre,Civic Facilities,920 EWEN AVE,Queensborough,"Monday - Friday (7:00 am - 9:30 pm), Saturday (8:30 am - 5:30 pm), Sunday (8:30 am - 8:30 pm)",https://www.newwestcity.ca/parks-and-recreation/facilities/queensborough-community-centre#about ,Yes,-122.9436169,49.18588393
River Market,Other,810 QUAYSIDE DR,Downtown,7 days a week (hours vary),http://rivermarket.ca/ ,Yes,-122.911713867,49.2000623760001
Royal City Centre,Other,610 SIXTH ST,Uptown,"Monday-Wednesday (9:30 am - 5:30 pm), Thursday - Friday (9:30 am - 9:00 pm), Saturday (9:30 am - 5:30 pm), Sunday (12:00 pm - 5:00 pm)",https://www.royalcitycentre.ca/ ,Yes,-122.922341782,49.2126440750001
Royal Columbian Hospital,Other,330 E COLUMBIA ST,Sapperton,24 hours,http://www.fraserhealth.ca/find-us/hospitals/royal-columbian-hospital/ ,Yes,-122.8922872,49.2261797300001
Royal Square Shopping Centre,Other,800 MCBRIDE BLVD,Glenbrooke North,,,Yes,-122.914189616,49.221898482
Sapperton Park,Parks,351 E COLUMBIA ST,Sapperton,8:30 am - 6:00 pm (8:30 pm on weekends),https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.894401859,49.2270610520001
Sapperton Skytrain Station,Transit,306 BRUNETTE AVE,Brunette Creek,Only if attendant is present,,Yes,-122.889400406,49.2247416760001
Terry Hughes Park,Parks,701 PARK CRES,Glenbrooke North,8:30 am - 4:30 pm (weekends only),https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.911199846,49.221004776
Westminster Centre,Other,555 SIXTH ST,Uptown,?,,Yes,-122.9187877,49.2126019200001
Westminster Pier Park,Parks,1 SIXTH ST,Downtown,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.905015431,49.203427101
Youth Centre ,Civic Facilities,600 EIGHTH ST,Kelvin,"Monday - Thursday (3:15pm - 9:00 pm), Friday & Saturday (3:15 pm - 11:00 pm)",http://www.newwestyouth.ca/,Yes,-122.925989348,49.211663032
Moody Park Spray Park and Playground,Parks,600 EIGHTH ST,Kelvin,7:00 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.925394622,49.2112612540001
